class,order,family,genus,species,subspecies,common_name,female_maturity_d,adult_body_mass_g,maximum_longevity_y,C,C_E,E_alpha,I,taxaname,I_m,log_bodymass,log_C_E,log_I_m,log_E_alpha,Species,Age_at_maturity_avg_y
Mammalia,Chiroptera,Vespertilionidae,Myotis,blythii,NA,Lesser Mouse-eared Myotis,420.91,24.705,33,0.9350333940497876,29.777841987507387,27.616568862702238,23.1,Myotis_blythii,0.9350333940497876,3.2070056522977133,3.3937645594692025,-0.06717303476996539,3.3184159137148685,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Myotis,fimbriatus,NA,Fringed Long-footed Myotis,410.255,23.41,33,0.9867577958137549,31.453905016589328,28.35978842427271,23.1,Myotis_fimbriatus,0.9867577958137549,3.1531632815028194,3.4485231413078012,-0.013330663975071455,3.3449722412790006,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Myotis,longipes,NA,Kashmir Cave Myotis,410.255,23.41,33,0.9867577958137549,31.453905016589328,28.35978842427271,23.1,Myotis_longipes,0.9867577958137549,3.1531632815028194,3.4485231413078012,-0.013330663975071455,3.3449722412790006,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Myotis,macrodactylus,NA,Big-footed Myotis,410.255,23.41,33,0.9867577958137549,31.453905016589328,28.35978842427271,23.1,Myotis_macrodactylus,0.9867577958137549,3.1531632815028194,3.4485231413078012,-0.013330663975071455,3.3449722412790006,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Myotis,punicus,NA,Maghrebian Myotis,420.91,24.705,33,0.9350333940497876,29.777841987507387,27.616568862702238,23.1,Myotis_punicus,0.9350333940497876,3.2070056522977133,3.3937645594692025,-0.06717303476996539,3.3184159137148685,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Nyctalus,furvus,NA,Japanese Noctule,414.825,19.375,22.7,1.2152077419354839,26.20412381988511,18.973482793949255,20.21,Nyctalus_furvus,1.0430967741935484,2.9639835752394106,3.2659167960868705,0.042193956176118964,2.943042361926728,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Nyctalus,noctula,NA,Noctule,414.825,19.375,22.7,1.2152077419354839,26.20412381988511,18.973482793949255,20.21,Nyctalus_noctula,1.0430967741935484,2.9639835752394106,3.2659167960868705,0.042193956176118964,2.943042361926728,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Nyctalus,plancyi,NA,Chinese Noctule,414.825,19.375,22.7,1.2152077419354839,26.20412381988511,18.973482793949255,20.21,Nyctalus_plancyi,1.0430967741935484,2.9639835752394106,3.2659167960868705,0.042193956176118964,2.943042361926728,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Nycticeius,cubanus,NA,Cuban Evening Bat,365,6.65,24,0.7858421052631579,18.074368421052633,23,3.555,Nycticeius_cubanus,0.5345864661654135,1.8946168546677629,2.8944948253072362,-0.6262617914125587,3.1354942159291497,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Nycticeius,humeralis,NA,Evening Bat,365,6.65,24,0.7858421052631579,18.074368421052633,23,3.555,Nycticeius_humeralis,0.5345864661654135,1.8946168546677629,2.8944948253072362,-0.6262617914125587,3.1354942159291497,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Plecotus,auritus,NA,Brown Long-eared Bat,351.665,9.195,30,0.7903752039151712,22.94975667612684,30.137588329802508,5.7,Plecotus_auritus,0.6199021207177814,2.2186598580562844,3.1333073341029345,-0.47819368321578,3.405773174396483,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Plecotus,austriacus,NA,Gray Long-eared Bat,351.665,8.19,30,0.8873626373626374,25.76593560891164,30.137588329802508,5.7,Plecotus_austriacus,0.695970695970696,2.102913897864978,3.249053294294241,-0.3624477230244735,3.405773174396483,NA,NA
Mammalia,Chiroptera,Vespertilionidae,Plecotus,kolombatovici,NA,Kolombatovic's Long-eared Bat,351.665,8.19,30,0.8873626373626374,25.76593560891164,30.137588329802508,5.7,Plecotus_kolombatovici,0.695970695970696,2.102913897864978,3.249053294294241,-0.3624477230244735,3.405773174396483,NA,NA
